Title,Alternative title,Id
"'Tis Time for ""Torture"", Princess","Himesama ""Goumon"" no Jikan desu",39590
.hack//Legend of the Twilight,.hack//Tasogare no Udewa Densetsu,21940
.hack//Roots,,21913
.hack//SIGN,,21885
009-1,,4565
11 Eyes,,14821
16bit Sensation: Another Layer,,38620
18 If,18if,26485
30-sai no Hoken Taiiku,,12200
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",39748
86,86 Eighty-Six,22468
91 Days,,6352
A Bridge to the Starry Skies,Hoshizora e Kakaru Hashi,11324
A Certain Magical Index,Toaru Majutsu no Index,9522
A Certain Magical Index II,Toaru Majutsu no Index II,7819
A Certain Magical Index III,Toaru Majutsu no Index III,15152
A Certain Scientific Accelerator,Toaru Kagaku no Accelerator,17426
A Certain Scientific Railgun,Toaru Kagaku no Railgun,33761
A Certain Scientific Railgun S,Toaru Kagaku no Railgun S,9475
A Certain Scientific Railgun T,Toaru Kagaku no Railgun T,19463
A Couple of Cuckoos,Kakkou no Iinazuke,30196
A Galaxy Next Door,Otonari ni Ginga,36125
A Girl & Her Guard Dog,Ojou to Banken-kun,38303
A Little Snow Fairy Sugar,Chicchana Yukitsukai Sugar,7965
A Place Further Than the Universe,Sora yori mo Tooi Basho,17723
A Playthrough of a Certain Dude's VRMMO Life,Toaru Ossan no VRMMO Katsudouki,38639
A Returner's Magic Should Be Special,Kikansha no Mahou wa Tokubetsu desu,38975
A Salad Bowl of Eccentrics,Henjin no Salad Bowl,40753
A Sign of Affection,Yubisaki to Renren,39702
A-Channel,A Channel The Animation,32193
A.D. Police Files,,23079
A.D. Police: To Protect and Serve,A.D. Police (1999),23081
A.I.C.O. -Incarnation-,,16630
Abnormal Physiology Seminar,Hen Semi,11934
Absolute Duo,,3143
Accel World,,713
Ace Attorney,,9343
Ace of Diamond Act II,Diamond no Ace: Act II,37844
Ace of Diamond: Second Season,Diamond no Ace: Second Season,37811
Ace of the Diamond,Diamond no Ace,37730
Action Heroine Cheer Fruits,,13588
Active Raid,,17543
Active Raid Second,,7152
"Actually, I Am",Jitsu wa Watashi wa,28763
Adachi and Shimamura,Adachi to Shimamura,21833
Adventure of Gamba,Gamba no Bouken,31230
Aesthetica of a Rogue Hero,Hagure Yūsha no Aestetica,3894
Afro Samurai,,8410
Aggretsuko,Aggressive Retsuko (2018),24358
Aggretsuko (2019),Aggressive Retsuko (2019),24426
Aggretsuko (2020),Aggressive Retsuko (2020),24439
Ah My Buddha!!,Amaenaide yo!!,13155
Aharen-san wa Hakarenai,,29922
Aho-Girl,Aho Girl,10482
Ai no Kusabi,,31527
Ai Yori Aoshi ~Enishi~,,11638
