Title,Year,Id
'Twas the Night Before Christmas,1974,3770
.hack//Beyond the World,,308
009 Re: Cyborg,,1653
10,1979,3555
10 Cloverfield Lane,2016,2942
10 Things I Hate About You,1999,3207
100 Girls,2000,4044
101 Dalmatians,1996,1951
101 Dalmatians (One Hundred and One Dalmatians),,121
101 Dalmatians 2: Patch's London Adventure,,132
12 Angry Men,1957,1877
12 Strong,,1792
1941,1979,3916
1984,1984,4051
2 Days in the Valley,1996,4010
2 Fast 2 Furious,,457
2 Guns,2013,3416
"20,000 Leagues Under the Sea",1916,2579
2001: A Space Odyssey,1968,2601
2019: After the Fall of New York,1983,3417
21,2008,3098
21 Jump Street,2012,458
22 Jump Street,,459
28 Days Later...,2002,2132
28 Weeks Later,2007,2133
3 from Hell,2019,4392
30 Minutes or Less,2011,3413
300,,460
300: Rise of an Empire,2014,2525
365 Days,2020,2818
365 Days: This Day,2022,3848
3:10 to Yuma,2007,3419
40 Days and 40 Nights,2002,4023
42nd Street,1933,2643
47 Ronin,2013,4443
5 Centimeters Per Second,,260
50 First Dates,,1612
500 Days of Summer,2009,3203
6 Underground,2019,1926
65,2023,4135
8-Bit Christmas,2021,3119
9,2009,215
9½ Weeks,1986,3343
A Bad Moms Christmas,,1736
A Beautiful Mind,2001,3009
A Boy and His Dog,1975,2496
A Boy Called Christmas,2021,3163
A Boy Named Charlie Brown,1969,2982
A Bug's Life,,54
A Certain Magical Index: The Miracle of Endymion,,617
A Charlie Brown Christmas,,258
A Christmas Carol,,1673
A Christmas Carol,1951,3309
A Christmas Story,1983,2463
A Cinderella Story: Christmas Wish,2019,2923
A Clockwork Orange,,519
A Close Shave,1995,2783
A Day to Die,2022,3410
A Dog's Way Home,2019,3574
A Face in the Crowd,1957,3306
A Good Day to Die Hard,2013,2086
A Goofy Movie,1995,1988
A Grand Day Out,1989,2784
A History of Violence,2005,3241
A Letter to Momo,,1665
A Little Chaos,,580
A Loud House Christmas,2021,3355
A Man Apart,2003,4209
A Man Called Otto,2022,3946
A Million Ways to Die in the West,,536
A Monster in Paris,2011,2986
A Nightmare on Elm Street,1984,3013
A Nightmare on Elm Street,2010,3317
A Nightmare on Elm Street 2: Freddy's Revenge,,1799
A Nightmare on Elm Street 3: Dream Warriors,1987,3440
A Nightmare on Elm Street 4: The Dream Master,1988,3441
A Promise,2014,638
A Quiet Place,,1809
A Quiet Place Part II,2021,2878
A Rainy Day in New York,2019,3032
A Red Turtle,,1469
A Scanner Darkly,,498
A Shaun the Sheep Movie: Farmageddon,2019,2925
A Silent Voice: The Movie,2016,2040
A Spirit of the Sun,2006,3596
A Star Is Born,2018,3176
A Streetcar Named Desire,1951,2609
A Thousand & One Nights,1969,1888
A Trip to the Moon (1902) (Colorized),,2575
A Troll in Central Park,1994,3620
A Very Harold & Kumar 3D Christmas,,723
A Whisker Away,2020,2656
A Wrinkle in Time,,1801
A.I. Artificial Intelligence,2001,3249
Abominable,2019,1921
Abraham Lincoln: Vampire Hunter,2012,3928
Accel World: Infinite Burst,,596
Accel World: Infinite Burst,2016,2001
Accident Man,2018,4183
Accident Man: Hitman's Holiday,2022,4461
Ace Ventura: Pet Detective,1994,2583
Ace Ventura: When Nature Calls,1995,2584
Action Point,2018,2644
Ad Astra,2019,3267
Adam by Eve: A Live in Animation,2022,3342
Addams Family Values,1993,3670
"Adieu, Galaxy Express 999: Last Stop Andromeda",1981,3881
Adventures in Babysitting,1987,2454
Adventures in Babysitting,2016,4240
Adventures in Zambezia,2012,3652
Adventures of a Taxi Driver,,1746
Aeon Flux,2005,2024
Afro Samurai: Resurrection,,616
After,2019,3850
After Ever Happy,2022,3853
After the Thin Man,1936,2511
After We Collided,2020,3851
After We Fell,2021,3852
Age of Consent,1969,2888
Agent Cody Banks,2003,3993
Agent Cody Banks 2: Destination London,2004,3994
Aikatsu Stars! The Movie,2016,3766
Aikatsu! The Movie,2014,3634
AINBO: Spirit of the Amazon,2021,3300
Air Force One,1997,2590
Airplane II: The Sequel,1982,3005
Airplane!,1980,2467
Akira,,461
Aladdin,1992,33
Aladdin,2019,1896
Aladdin and the King of Thieves,1996,2038
Alakazam the Great,1960,3689
Albert,2015,2893
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",,316
Alice,1988,3052
Alice,1990,3704
Alice in Wonderland,,34
Alice in Wonderland,2010,352
Alice Through the Looking Glass,,439
"Alice, Sweet Alice",1976,4387
Alien,1979,2154
Alien vs. Predator,2004,1949
Alien: Covenant,,1609
Alien: Resurrection,1997,2591
Aliens,,1706
Aliens vs. Predator: Requiem,2007,2588
Alita: Battle Angel,2019,1866
All About Steve,2009,3316
All American Bikini Car Wash,,1534
All Dogs Go to Heaven,,1632
All Dogs Go to Heaven 2,,1633
All I Want for Christmas Is You (Mariah Carey),,1644
All the Boys Love Mandy Lane,2006,4026
All the Right Moves,1983,2630
All-Star Superman,,153
Alley Cat,1984,3503
Almost Famous,2000,3180
Aloha,,462
Alpha,2018,2855
Alpha and Omega,,781
Alpha and Omega 3: The Great Wolf Games,2014,2791
Alpha and Omega 7: The Big Fureeze,2016,2792
Alpha House,,1585
Altered Carbon: Resleeved,2020,1984
Alvin and the Chipmunks,,769
Alvin and the Chipmunks: Chipwrecked,,780
Alvin and the Chipmunks: The Road Chip,,109
Alvin and the Chipmunks: The Squeakquel,,209
Always,1989,3920
Amazons,1986,4013
Ambulance,2022,3520
America: The Motion Picture,2021,2846
American Beauty,1999,2155
American Gangster,2007,3085
American Graffiti,1973,2156
American History X,1998,3183
American Hustle,,464
American Made,,1738
American Pie,,530
American Pie 2,,529
American Pie Presents: Band Camp,2005,2485
American Pie Presents: Beta House,2007,2483
American Pie Presents: The Book of Love,2009,2862
American Pie Presents: The Naked Mile,2006,2486
American Psycho,2000,2475
American Sniper,,463
American Ultra,,469
American Virgin,2009,3201
American Wedding,,1467
Amistad,1997,3922
Amon Saga,1986,4167
Amsterdam,2022,3793
Amuck,1972,1875
An American Tail,1986,1909
An Extremely Goofy Movie,,231
Anastasia,1997,1906
Anchorman 2: The Legend Continues,,672
Anchorman: The Legend of Ron Burgundy,2004,3245
Angel's Egg,1985,4168
Angels & Demons,,689
Anger Management,2003,2082
"Angus, Thongs and Perfect Snogging",2008,3731
Animal Farm,1954,4198
Anna Karenina,2012,3688
Annette,2021,3096
Annie Hall,1977,4061
Annihilation,,1795
Anohana the Movie: The Flower We Saw That Day,2013,2058
Anon,2018,1828
Ant-Man,,319
Ant-Man and the Wasp,,1817
Ant-Man and the Wasp: Quantumania,2023,3949
Antlers,2021,3232
Anyone But You,2023,4419
Aoki Hagane no Arpeggio: Ars Nova DC,,1607
Apocalypse Now,,1671
Apocalypto,2006,2013
Appleseed,1988,3464
Appleseed,2004,2767
Appleseed Alpha,,1468
Appleseed Ex Machina,,259
April and the Extraordinary World,,432
Aquaman,2018,1834
Aquaman and the Lost Kingdom,2023,4278
Aquamarine,2006,3199
Arabian Nights: The Adventures of Sinbad,1962,4388
Arctic Dogs,2019,1956
Are We There Yet?,2005,3586
Argylle,2024,4337
Aria the Crepuscolo,2021,2902
Arion,1986,3502
AristoCats,,91
Arlo the Alligator Boy,2021,2685
Armageddon,1998,2517
Army of Darkness,1992,2538
Army of the Dead,2021,2751
Army of Thieves,2021,3072
Around the World in 80 Days,2004,4030
Around the World with Bolek and Lolek,1997,3876
Arpeggio of Blue Steel: Ars Nova Cadenza (Gekijouban Aoki Hagane no Arpeggio),,1608
Arrival,2016,1470
Artemis Fowl,2020,2007
