Title,Season,Id
101 Dalmatian Street,1,6331
101 Dalmatians: The Series,1,17263
101 Dalmatians: The Series,2,17359
1883,1,22431
1923,1,22453
3Below: Tales of Arcadia,1,8824
3Below: Tales of Arcadia,2,8873
6Teen,1,6431
6Teen,2,6432
6Teen,3,6485
6Teen,4,6486
A Murder at the End of the World,1,24889
Aaahh!!! Real Monsters,1,18385
Aaahh!!! Real Monsters,2,18399
Aaahh!!! Real Monsters,3,18413
Aaahh!!! Real Monsters,4,18427
Adventure Time,1,535
Adventure Time,10,16177
Adventure Time,2,508
Adventure Time,3,562
Adventure Time,4,314
Adventure Time,5,16055
Adventure Time,6,341
Adventure Time,7,16108
Adventure Time,8,16147
Adventure Time,9,16162
Adventure Time: Distant Lands,1,9905
Adventure Time: Fionna & Cake,1,22985
Adventures of Sonic the Hedgehog,1,14410
Aeon Flux,1,6859
Aeon Flux,2,6861
Aeon Flux,3,6867
Agent Elvis,1,20505
Ahsoka,1,22969
All Grown Up!,1,10890
All Grown Up!,2,10903
All Grown Up!,3,10943
All Grown Up!,4,10969
All Grown Up!,5,10995
Altered Carbon,1,171
Alvinnn!!! And the Chipmunks,1,22580
Alvinnn!!! And the Chipmunks,3,22732
Alvinnn!!! And the Chipmunks,4,22759
American Dad!,1,22076
American Dad!,10,25972
American Dad!,11,26045
American Dad!,12,26091
American Dad!,13,26123
American Dad!,14,26218
American Dad!,15,26265
American Dad!,2,23328
American Dad!,3,25696
American Dad!,4,25745
American Dad!,5,25762
American Dad!,6,25783
American Dad!,7,25802
American Dad!,8,25822
American Dad!,9,25943
American Dragon: Jake Long,1,14147
American Dragon: Jake Long,2,14169
Amphibia,1,15405
Amphibia,2,7982
Amphibia,3,22294
Andor,1,23104
Angels of Death,1,23156
Animaniacs 2020,1,4259
Animaniacs 2020,2,24543
Animaniacs 2020,3,24557
Animaniacs,1,1450
Animaniacs,2,1575
Animaniacs,3,3307
Animaniacs,4,4119
Animaniacs,5,4128
Aqua Teen Hunger Force,1,14274
Aqua Teen Hunger Force,10,21159
Aqua Teen Hunger Force,11,21170
Aqua Teen Hunger Force,12,21180
Aqua Teen Hunger Force,2,14293
Aqua Teen Hunger Force,3,21075
Aqua Teen Hunger Force,4,21089
Aqua Teen Hunger Force,5,21103
Aqua Teen Hunger Force,6,21113
Aqua Teen Hunger Force,7,21124
Aqua Teen Hunger Force,8,21137
Aqua Teen Hunger Force,9,21148
Aquaman: King of Atlantis,1,16482
Arabian Knights,1,23085
Arcane,1,11604
Archer,1,474
Archer,10,13701
Archer,11,13711
Archer,12,13720
Archer,13,18727
Archer,2,3114
Archer,3,13614
Archer,4,13628
Archer,5,13642
Archer,6,13658
Archer,7,13672
Archer,8,13683
Archer,9,13692
Archie's Weird Mysteries,1,6795
Around the World with Willy Fog,1,17846
Arrow,1,26427
Arrow,2,26472
Arrow,3,26517
Arrow,4,26541
Arrow,5,26637
Arrow,6,26714
Arrow,7,26931
Arrow,8,26954
Arthur and the Minimoys,1,26830
As Told by Ginger,1,22326
As Told by Ginger,2,22345
As Told by Ginger,3,22366
Astonishing X-Men,1,22978
Astonishing X-Men,2,22996
Astonishing X-Men,3,23003
Astonishing X-Men,4,23010
Avatar: The Last Airbender (2024),1,27195
Avatar: The Last Airbender,1,5038
Avatar: The Last Airbender,2,5072
Avatar: The Last Airbender,3,5093
Back to the Future,1,20870
Back to the Future,2,20929
Ballmastrz 9009,1,27524
Ballmastrz 9009,2,27535
Bananaman,1,19262
Bananaman,2,19279
Bananaman,3,19299
Barangay 143,1,17772
Barangay 143,2,17826
Barbie: It Takes Two,1,16013
Batman Beyond,1,5341
Batman Beyond,2,5355
Batman Beyond,3,5382
Batman: The Animated Series,1,1421
Batman: The Animated Series,2,1516
Batman: The Animated Series,3,1545
Batman: The Brave and the Bold,1,15944
Batman: The Brave and the Bold,2,15971
Batman: The Brave and the Bold,3,15998
Batwoman,1,27299
Batwoman,2,27356
Batwoman,3,27480
"Be Cool, Scooby-Doo!",1,9009
Beast Machines: Transformers,1,11914
Beast Machines: Transformers,2,11944
Beast Wars: Transformers,1,11958
Beast Wars: Transformers,2,11930
Beast Wars: Transformers,3,11985
Beavis and Butt-Head (2022),1,18703
Beavis and Butt-Head,9,13949
Bee and PuppyCat,1,18581
Bee and PuppyCat,2,18587
Beetlejuice,1,19325
Ben 10 (2005),1,15888
Ben 10 (2005),2,15902
Ben 10 (2005),3,15916
Ben 10 (2005),4,15930
Ben 10 (2016),1,3890
Ben 10 (2016),2,3928
Ben 10 (2016),3,3964
Ben 10 (2016),4,21952
Ben 10: Alien Force,1,21527
Ben 10: Alien Force,2,21541
Ben 10: Alien Force,3,21555
Ben 10: Omniverse,1,21630
Ben 10: Omniverse,2,21665
Ben 10: Omniverse,3,21686
Ben 10: Omniverse,4,21697
Ben 10: Ultimate Alien,1,21576
Ben 10: Ultimate Alien,2,21597
Betty Boop Shorts,,7891
Beware the Batman,1,9836
Beyblade Burst,1,2868
Beyblade Season 1 [US],,10984
Beyblade Season 2 [US],,11074
Beyblade Season 3 [US],,11126
Beyblade Season 6 [US],,11234
Beyblade Season 7 [US],,11179
Beyblade: Metal Fusion,,2481
Big Mouth,1,14550
Big Mouth,2,15128
Big Mouth,3,15139
